# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 2.802549 5.720325 30.611256 1.401274 0.287307 0.322678 -nan nan nan
2 10 2.786925 5.552367 30.326118 1.401274 0.272985 0.294685 0.341123 -0.016926 nan
4 10 2.751771 5.411751 30.058558 1.401274 0.282316 0.296638 0.330056 -0.009021 0.005916
8 10 2.761536 5.511354 30.158161 1.401274 0.282533 0.299025 0.315555 -0.001978 0.012477
16 10 2.765442 5.495730 30.271434 1.401274 0.290779 0.302280 0.311503 -0.000696 0.011103
32 10 2.763489 5.575803 30.236280 1.401274 0.289043 0.307271 0.307915 0.000014 0.010785
64 10 2.890434 5.773055 31.540882 1.401274 0.292949 0.311828 0.306533 0.000181 0.009902
128 10 3.079874 6.071864 33.509501 1.401274 0.301195 0.328754 0.306261 0.000200 0.009054
256 10 11.368388 56.062696 158.044229 1.401274 4.928927 4.964951 -nan nan nan
512 10 11.208243 56.513838 157.181005 1.401274 5.010953 4.999888 4.898113 0.000265 nan
1024 10 11.442602 57.517678 160.251115 1.401274 5.091677 5.096452 4.923285 0.000195 0.013455
2048 10 13.850646 70.905464 195.250752 1.401274 6.304921 6.313386 4.613882 0.000782 0.250996
4096 10 14.616220 75.174713 206.519537 1.401274 6.706370 6.717222 4.840699 0.000502 0.321047
8192 10 15.998941 83.211291 226.459624 1.401274 7.385579 7.425075 5.069771 0.000325 0.417747
16384 10 18.584708 97.046313 264.082135 1.401274 8.692784 8.697561 5.271557 0.000230 0.496389
32768 10 23.088316 121.575939 329.212590 1.401274 10.925492 10.934609 5.454533 0.000179 0.566965
65536 10 28.558657 151.091564 408.191739 1.401274 13.622796 13.617592 5.749384 0.000131 0.809324
131072 10 39.102881 209.454890 561.294889 1.401274 18.918453 18.917590 -nan nan nan
262144 10 60.302650 326.154199 868.874146 1.401274 29.538627 29.525832 8.316941 0.000081 nan
524288 10 102.854522 560.144575 1485.874333 1.401274 50.814346 50.792877 8.292529 0.000081 0.013049
1048576 10 194.862106 1066.425526 2820.014566 1.401274 96.821501 96.811330 7.221263 0.000085 0.868463
2097152 10 378.918286 2078.606595 5490.595661 1.401274 189.045867 189.049610 6.543811 0.000087 1.023537
4194304 10 746.942761 4103.437452 10829.533389 1.401274 373.345087 373.093256 6.114375 0.000087 1.061770
8388608 10 1482.747587 8151.396154 21496.052175 1.401274 740.952923 741.043188 5.852577 0.000088 1.040020
16777216 10 2954.341615 16241.134278 42834.407754 1.401274 1476.776845 1476.386447 5.747352 0.000088 0.969417
33554432 10 5900.517755 32453.110329 85560.103952 1.401274 2950.547378 2950.320581 5.429377 0.000088 1.116625
67108864 10 11790.741269 64917.403512 171030.184565 1.401274 5902.530208 5901.967681 4.758879 0.000088 1.863252
