# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.982151 6.935074 42.426796 1.991075 0.289477 0.317904 -nan nan nan
2 10 4.044646 6.802271 42.840831 1.991075 0.266041 0.290996 0.349803 -0.021700 nan
4 10 3.913796 6.610878 41.725672 1.991075 0.287524 0.294034 0.331466 -0.008602 0.009801
8 10 4.001680 6.731963 42.456091 1.991075 0.271032 0.298591 0.319074 -0.002583 0.012205
16 10 4.044646 6.706574 42.963869 1.991075 0.279712 0.301195 0.315318 -0.001396 0.010773
32 10 3.904031 6.739775 41.633882 1.991075 0.288175 0.305318 0.308465 -0.000038 0.013192
64 10 4.101283 6.979993 43.590779 1.991075 0.286439 0.316602 0.306797 0.000163 0.012105
128 10 4.316112 7.198728 45.860156 1.991075 0.299893 0.332877 0.307519 0.000111 0.011132
256 10 5.073873 33.298512 78.432155 1.991075 3.077047 3.100922 0.075998 0.009669 0.483817
512 10 5.343386 33.677393 81.205404 1.991075 3.085727 3.061428 0.209642 0.006526 0.547176
1024 10 5.903895 35.374542 88.175632 1.991075 3.237410 3.259332 0.435358 0.003546 0.764496
2048 10 6.853049 38.384103 100.079117 1.991075 3.505403 3.498248 0.668142 0.001840 0.957573
4096 10 8.358805 46.024207 120.532802 1.991075 4.104972 4.024255 0.868956 0.001030 1.078818
8192 10 11.120336 57.636697 157.708003 1.991075 5.167183 5.159379 1.057139 0.000617 1.179675
16384 10 15.371999 78.248574 215.543905 1.991075 6.869324 6.866731 1.231115 0.000410 1.261739
32768 10 19.951765 101.223571 279.412600 1.991075 8.877216 8.873325 1.447458 0.000271 1.414167
65536 10 25.146724 129.866150 359.250909 1.991075 11.975963 11.646361 1.717941 0.000178 1.659603
131072 10 49.820824 265.780716 714.048996 1.991075 23.982307 24.084337 1.753737 0.000172 1.612128
262144 10 72.190393 381.466192 1030.943417 1.991075 34.337721 35.115071 2.140438 0.000134 2.134767
524288 10 114.874984 617.356367 1649.424707 1.991075 55.630541 55.735879 2.627402 0.000109 2.808456
1048576 10 208.960369 1141.787426 3025.743025 1.991075 104.015481 103.720104 2.993488 0.000099 3.103340
2097152 10 403.429539 2205.236440 5835.858166 1.991075 200.173642 200.343023 3.265175 0.000095 3.226670
4194304 10 787.208073 4363.847150 11400.350059 1.991075 392.029925 390.268769 3.380735 0.000094 3.187047
8388608 10 1547.915999 8757.592654 22498.507821 1.991075 779.927536 785.295251 3.203316 0.000095 3.208817
16777216 10 3081.706008 17260.433137 45066.561685 1.991075 1583.277956 1547.927077 3.657510 0.000094 3.740671
33554432 10 6173.009019 34424.191222 89839.811326 1.991075 3123.302349 3088.984168 4.042044 0.000094 4.065355
67108864 10 12354.312394 68052.032415 179363.542630 1.991075 6202.268743 6180.891320 5.996683 0.000092 10.011250
