# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 4.187224 6.911654 44.284191 2.093612 0.267994 0.323980 -nan nan nan
2 10 3.989971 6.880406 42.383925 2.093612 0.276023 0.295770 0.284269 0.018445 nan
4 10 4.029031 6.800333 42.948341 2.093612 0.295336 0.302497 0.309333 0.000542 0.013397
8 10 4.193083 6.841346 44.338875 2.093612 0.267560 0.304016 0.315244 -0.002328 0.010616
16 10 3.991924 6.833534 42.518682 2.093612 0.288826 0.309875 0.307380 0.000157 0.012188
32 10 5.109038 7.319830 52.674263 2.093612 0.175987 0.314866 0.317679 -0.001883 0.017547
64 10 4.243861 7.163590 45.120073 2.093612 0.297940 0.322027 0.302319 -0.000035 0.029412
128 10 4.331746 7.501459 46.067276 2.093612 0.305535 0.327669 0.296977 0.000346 0.028633
256 10 18.518311 88.603535 256.024142 2.093612 7.871226 7.858204 -0.315032 0.025610 1.278916
512 10 18.860085 91.087747 261.437847 2.093612 8.093000 8.018133 0.024533 0.017626 1.428907
1024 10 19.772134 93.812176 273.812032 2.093612 8.454521 8.435857 0.638828 0.009514 2.042704
2048 10 26.207257 130.817550 367.444532 2.093612 11.707996 11.688246 1.110689 0.006056 2.315530
4096 10 26.560749 135.393420 376.639239 2.093612 12.336861 12.004848 1.801514 0.003272 2.963565
8192 10 28.543041 145.603685 404.266324 2.093612 13.203991 13.002395 2.510338 0.001714 3.557895
16384 10 31.624869 160.087105 444.624992 2.093612 14.264034 14.443489 3.190249 0.000905 4.047206
32768 10 35.626558 188.007140 508.081748 2.093612 16.868463 16.653412 3.801974 0.000513 4.402284
65536 10 41.264858 216.665407 588.234668 2.093612 19.509565 19.350282 4.441692 0.000293 4.801439
131072 10 52.553177 278.821467 749.591221 2.093612 24.895495 24.884855 5.032080 0.000185 5.117412
262144 10 74.372051 395.425110 1066.380889 2.093612 35.851153 35.632842 5.589663 0.000131 5.388567
524288 10 116.545053 629.733886 1681.801265 2.093612 57.372304 57.080207 6.092552 0.000105 5.589730
1048576 10 213.722242 1162.124578 3087.499633 2.093612 105.586357 105.457649 6.387485 0.000097 5.567903
2097152 10 406.313064 2240.805438 5893.984585 2.093612 203.428216 204.466939 6.533537 0.000095 5.460424
4194304 10 791.236913 4351.722951 11449.104785 2.093612 392.970628 396.768668 6.737308 0.000093 5.398867
8388608 10 1571.085906 8635.190636 22811.771908 2.093612 788.990317 788.386201 6.819520 0.000093 5.286956
16777216 10 3129.731225 16960.151718 45370.042945 2.093612 1563.636744 1542.915484 7.453893 0.000092 5.900861
33554432 10 6159.185856 33981.459562 89485.574823 2.093612 3099.301807 3099.954381 7.191522 0.000092 5.900904
67108864 10 12335.696742 68085.229422 179261.827753 2.093612 6211.651148 6194.048691 6.678424 0.000092 6.264250
