# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 2.825984 5.638298 30.763584 1.412992 0.278193 0.375627 -nan nan nan
2 10 2.876762 5.566037 31.091687 1.412992 0.258229 0.291215 0.326150 -0.013671 nan
4 10 2.757630 5.376596 30.039022 1.412992 0.273636 0.285573 0.316385 -0.006696 0.005220
8 10 2.759583 5.441045 30.064411 1.412992 0.274287 0.292299 0.305696 -0.001504 0.009419
16 10 2.747865 5.491823 30.003868 1.412992 0.280580 0.290129 0.300852 0.000027 0.009327
32 10 2.751771 5.528930 30.081988 1.412992 0.284920 0.296422 0.299796 0.000237 0.008204
64 10 2.913869 5.710559 31.708833 1.412992 0.285571 0.290781 0.300302 0.000176 0.007384
128 10 3.109169 6.167559 33.816115 1.412992 0.302714 0.341776 0.298627 0.000295 0.007428
256 10 3.907944 20.479110 55.402574 1.412992 1.813682 1.830610 0.177321 0.005303 0.253531
512 10 4.114961 21.016184 57.845771 1.412992 1.855129 1.859037 0.249499 0.003605 0.289537
1024 10 4.517278 22.629358 63.070034 1.412992 1.988583 1.981642 0.369845 0.002016 0.406211
2048 10 5.511353 25.968980 75.354375 1.412992 2.248983 2.243127 0.493420 0.001111 0.508603
4096 10 6.849155 32.755639 94.204686 1.412992 2.857015 2.847471 0.601568 0.000675 0.575281
8192 10 9.811849 44.844680 133.004846 1.412992 3.876262 3.871927 0.703216 0.000451 0.630972
16384 10 13.768618 63.407902 187.159456 1.412992 5.497031 5.485972 0.810835 0.000323 0.696511
32768 10 18.326909 87.781284 252.457857 1.412992 7.687641 7.673980 0.952632 0.000232 0.821306
65536 10 23.576561 115.164233 327.484128 1.412992 10.190947 10.097650 1.167160 0.000159 1.089958
131072 10 39.264973 210.847337 563.847350 1.412992 19.021958 19.022849 1.264155 0.000141 1.112314
262144 10 60.503798 326.648246 870.875805 1.412992 29.537536 29.558837 1.534516 0.000115 1.482028
524288 10 102.854503 560.658109 1486.135759 1.412992 50.843414 50.821340 1.852076 0.000098 1.896909
1048576 10 194.934330 1065.450784 2819.748436 1.412992 96.711681 96.702030 2.080936 0.000092 2.062142
2097152 10 378.771741 2077.946097 5487.753034 1.412992 188.892848 188.864858 2.250953 0.000090 2.129342
4194304 10 746.991447 4098.575685 10821.633467 1.412992 372.413222 372.464652 2.401088 0.000089 2.173952
8388608 10 1483.044167 8147.601924 21497.237561 1.412992 740.755099 740.690429 2.513982 0.000088 2.180495
16777216 10 2956.938551 16252.597301 42866.356671 1.412992 1477.441240 1477.453380 2.592649 0.000088 2.161515
33554432 10 5907.488854 32492.070472 85654.091606 1.412992 2953.244785 2953.418140 2.588470 0.000088 2.116091
67108864 10 11804.203032 64922.045456 171164.366583 1.412992 5902.481807 5902.605652 2.651426 0.000088 2.094336
